seccion_codigo;distrito_codigo;distrito_nombre;municipio_codigo;municipio_nombre;superficie_km2
00101001;00101;;001;ACEBEDA, LA;21.86
00201001;00201;;002;AJALVIR;12.81
00201002;00201;;002;AJALVIR;6.99
00301001;00301;;003;ALAMEDA DEL VALLE;25.70
00401001;00401;;004;ALAMO, EL;5.04
00401002;00401;;004;ALAMO, EL;12.71
00401003;00401;;004;ALAMO, EL;0.39
00401004;00401;;004;ALAMO, EL;3.86
00501001;00501;;005;ALCALA DE HENARES;0.18
00501002;00501;;005;ALCALA DE HENARES;0.09
00501003;00501;;005;ALCALA DE HENARES;0.20
00501004;00501;;005;ALCALA DE HENARES;0.03
00501005;00501;;005;ALCALA DE HENARES;0.25
00501006;00501;;005;ALCALA DE HENARES;0.12
00501007;00501;;005;ALCALA DE HENARES;0.03
00501008;00501;;005;ALCALA DE HENARES;0.01
00501009;00501;;005;ALCALA DE HENARES;0.01
00501010;00501;;005;ALCALA DE HENARES;0.10
00501011;00501;;005;ALCALA DE HENARES;0.07
00501012;00501;;005;ALCALA DE HENARES;0.11
00501013;00501;;005;ALCALA DE HENARES;0.03
00501014;00501;;005;ALCALA DE HENARES;0.06
00501015;00501;;005;ALCALA DE HENARES;0.07
00501016;00501;;005;ALCALA DE HENARES;0.12
00501017;00501;;005;ALCALA DE HENARES;0.03
00501018;00501;;005;ALCALA DE HENARES;0.04
00501020;00501;;005;ALCALA DE HENARES;0.07
00501021;00501;;005;ALCALA DE HENARES;0.04
00501022;00501;;005;ALCALA DE HENARES;0.04
00501023;00501;;005;ALCALA DE HENARES;0.05
00501024;00501;;005;ALCALA DE HENARES;0.03
00502001;00502;;005;ALCALA DE HENARES;0.03
00502002;00502;;005;ALCALA DE HENARES;0.03
00502003;00502;;005;ALCALA DE HENARES;0.02
00502004;00502;;005;ALCALA DE HENARES;0.03
00502005;00502;;005;ALCALA DE HENARES;0.02
00502006;00502;;005;ALCALA DE HENARES;0.04
00502007;00502;;005;ALCALA DE HENARES;0.05
00502008;00502;;005;ALCALA DE HENARES;5.53
00502009;00502;;005;ALCALA DE HENARES;0.03
00502010;00502;;005;ALCALA DE HENARES;0.03
00502011;00502;;005;ALCALA DE HENARES;0.09
00502012;00502;;005;ALCALA DE HENARES;0.07
00502013;00502;;005;ALCALA DE HENARES;0.06
00502014;00502;;005;ALCALA DE HENARES;0.07
00502015;00502;;005;ALCALA DE HENARES;0.03
00502016;00502;;005;ALCALA DE HENARES;0.02
00502017;00502;;005;ALCALA DE HENARES;0.03
00502018;00502;;005;ALCALA DE HENARES;0.04
00502019;00502;;005;ALCALA DE HENARES;0.08
00502020;00502;;005;ALCALA DE HENARES;0.04
00502021;00502;;005;ALCALA DE HENARES;0.06
00502022;00502;;005;ALCALA DE HENARES;0.01
00502023;00502;;005;ALCALA DE HENARES;0.02
00502024;00502;;005;ALCALA DE HENARES;0.03
00502025;00502;;005;ALCALA DE HENARES;0.03
00502026;00502;;005;ALCALA DE HENARES;0.04
00502027;00502;;005;ALCALA DE HENARES;8.66
00502028;00502;;005;ALCALA DE HENARES;0.13
00502029;00502;;005;ALCALA DE HENARES;0.19
00502030;00502;;005;ALCALA DE HENARES;0.01
00502031;00502;;005;ALCALA DE HENARES;0.16
00502032;00502;;005;ALCALA DE HENARES;0.03
00502033;00502;;005;ALCALA DE HENARES;0.02
00502034;00502;;005;ALCALA DE HENARES;0.03
00502035;00502;;005;ALCALA DE HENARES;0.02
00502036;00502;;005;ALCALA DE HENARES;0.36
00502037;00502;;005;ALCALA DE HENARES;0.07
00503001;00503;;005;ALCALA DE HENARES;0.03
00503002;00503;;005;ALCALA DE HENARES;0.02
00503003;00503;;005;ALCALA DE HENARES;0.02
00503004;00503;;005;ALCALA DE HENARES;0.10
00503005;00503;;005;ALCALA DE HENARES;0.02
00503006;00503;;005;ALCALA DE HENARES;0.17
00503007;00503;;005;ALCALA DE HENARES;8.82
00503008;00503;;005;ALCALA DE HENARES;0.03
00503009;00503;;005;ALCALA DE HENARES;0.05
00503011;00503;;005;ALCALA DE HENARES;0.11
00503012;00503;;005;ALCALA DE HENARES;0.08
00503013;00503;;005;ALCALA DE HENARES;7.30
00503014;00503;;005;ALCALA DE HENARES;9.83
00503015;00503;;005;ALCALA DE HENARES;0.28
00503016;00503;;005;ALCALA DE HENARES;0.20
00503017;00503;;005;ALCALA DE HENARES;0.82
00504001;00504;;005;ALCALA DE HENARES;8.89
00504002;00504;;005;ALCALA DE HENARES;0.17
00504003;00504;;005;ALCALA DE HENARES;0.18
00504004;00504;;005;ALCALA DE HENARES;0.12
00504005;00504;;005;ALCALA DE HENARES;0.27
00504006;00504;;005;ALCALA DE HENARES;0.29
00504007;00504;;005;ALCALA DE HENARES;0.14
00504008;00504;;005;ALCALA DE HENARES;0.15
00504009;00504;;005;ALCALA DE HENARES;0.61
00504010;00504;;005;ALCALA DE HENARES;0.29
00504011;00504;;005;ALCALA DE HENARES;0.13
00504012;00504;;005;ALCALA DE HENARES;0.17
00504013;00504;;005;ALCALA DE HENARES;0.10
00504014;00504;;005;ALCALA DE HENARES;0.14
00504015;00504;;005;ALCALA DE HENARES;2.78
00504016;00504;;005;ALCALA DE HENARES;0.15
00504017;00504;;005;ALCALA DE HENARES;0.55
00505001;00505;;005;ALCALA DE HENARES;0.04
00505002;00505;;005;ALCALA DE HENARES;0.03
00505003;00505;;005;ALCALA DE HENARES;0.04
00505004;00505;;005;ALCALA DE HENARES;0.02
00505005;00505;;005;ALCALA DE HENARES;0.04
00505006;00505;;005;ALCALA DE HENARES;0.03
00505007;00505;;005;ALCALA DE HENARES;0.09
00505008;00505;;005;ALCALA DE HENARES;0.06
00505009;00505;;005;ALCALA DE HENARES;16.16
00505010;00505;;005;ALCALA DE HENARES;0.02
00505011;00505;;005;ALCALA DE HENARES;0.02
00505012;00505;;005;ALCALA DE HENARES;0.04
00505013;00505;;005;ALCALA DE HENARES;0.27
00505014;00505;;005;ALCALA DE HENARES;0.05
00505015;00505;;005;ALCALA DE HENARES;0.15
00505016;00505;;005;ALCALA DE HENARES;0.19
00505017;00505;;005;ALCALA DE HENARES;0.04
00505018;00505;;005;ALCALA DE HENARES;0.04
00505019;00505;;005;ALCALA DE HENARES;0.01
00505020;00505;;005;ALCALA DE HENARES;2.83
00505021;00505;;005;ALCALA DE HENARES;0.03
00505022;00505;;005;ALCALA DE HENARES;5.79
00505023;00505;;005;ALCALA DE HENARES;0.02
00505024;00505;;005;ALCALA DE HENARES;0.03
00505025;00505;;005;ALCALA DE HENARES;0.02
00505026;00505;;005;ALCALA DE HENARES;0.03
00505027;00505;;005;ALCALA DE HENARES;0.01
00505028;00505;;005;ALCALA DE HENARES;0.06
00505029;00505;;005;ALCALA DE HENARES;0.11
00505030;00505;;005;ALCALA DE HENARES;0.22
00505031;00505;;005;ALCALA DE HENARES;0.31
00505032;00505;;005;ALCALA DE HENARES;0.31
00601001;00601;;006;ALCOBENDAS;0.04
00601002;00601;;006;ALCOBENDAS;0.06
00601003;00601;;006;ALCOBENDAS;0.05
00601004;00601;;006;ALCOBENDAS;0.06
00601005;00601;;006;ALCOBENDAS;0.04
00601006;00601;;006;ALCOBENDAS;0.03
00601007;00601;;006;ALCOBENDAS;0.04
00601008;00601;;006;ALCOBENDAS;0.03
00601009;00601;;006;ALCOBENDAS;0.06
00601011;00601;;006;ALCOBENDAS;0.01
00601012;00601;;006;ALCOBENDAS;0.01
00601013;00601;;006;ALCOBENDAS;0.03
00601014;00601;;006;ALCOBENDAS;0.04
00601015;00601;;006;ALCOBENDAS;0.09
00601016;00601;;006;ALCOBENDAS;0.06
00601017;00601;;006;ALCOBENDAS;0.02
00601018;00601;;006;ALCOBENDAS;0.07
00601019;00601;;006;ALCOBENDAS;0.01
00601020;00601;;006;ALCOBENDAS;0.02
00601021;00601;;006;ALCOBENDAS;0.04
00601022;00601;;006;ALCOBENDAS;0.03
00601023;00601;;006;ALCOBENDAS;0.04
00601024;00601;;006;ALCOBENDAS;0.04
00601025;00601;;006;ALCOBENDAS;0.09
00601026;00601;;006;ALCOBENDAS;0.04
00601027;00601;;006;ALCOBENDAS;0.07
00601028;00601;;006;ALCOBENDAS;0.06
00601029;00601;;006;ALCOBENDAS;0.03
00601030;00601;;006;ALCOBENDAS;0.17
00601031;00601;;006;ALCOBENDAS;0.05
00601032;00601;;006;ALCOBENDAS;0.09
00601033;00601;;006;ALCOBENDAS;0.50
00601034;00601;;006;ALCOBENDAS;0.16
00601035;00601;;006;ALCOBENDAS;2.14
00601036;00601;;006;ALCOBENDAS;3.00
00601037;00601;;006;ALCOBENDAS;0.69
00601038;00601;;006;ALCOBENDAS;0.09
00601039;00601;;006;ALCOBENDAS;0.31
00601040;00601;;006;ALCOBENDAS;1.58
00601041;00601;;006;ALCOBENDAS;0.33
00601042;00601;;006;ALCOBENDAS;0.03
00601043;00601;;006;ALCOBENDAS;0.02
00601044;00601;;006;ALCOBENDAS;0.08
00601045;00601;;006;ALCOBENDAS;0.07
00601046;00601;;006;ALCOBENDAS;0.08
00601047;00601;;006;ALCOBENDAS;0.16
00601048;00601;;006;ALCOBENDAS;0.39
00601049;00601;;006;ALCOBENDAS;0.04
00601050;00601;;006;ALCOBENDAS;0.07
