TERRITORIO Y MEDIO AMBIENTE. TERRITORIO. SECCIONADO CENSAL. TABLAS DE SECCION. TABLAS CON LITERAL DE DISTRITO Y BARRIO,Unnamed: 1,Unnamed: 2
,,
1. División administrativa vigente desde 1 de junio de 2022,,
,,Total de Secciones
Distrito/Barrio,Secciones censales,en el Distrito
,,
TOTAL SECCIONES,,2450
,,
01. CENTRO,,111
  01.1 Palacio,"De 1 a 4, 6 a 9, 11 a 16 y 18 a 21",
  01.2 Embajadores,"De 22 a 43, 45 a 51, 53 a 59",
  01.3 Cortes,"De 61 a 69, 71 a 72",
  01.4 Justicia,"De 73 a 77, 79, 81 a 82, 84 y 87 a 89",
  01.5 Universidad,De 90 a 116,
  01.6 Sol,"De 117 a 121, y 123 a 124",
,,
02. ARGANZUELA,,111
  02.1 Imperial,"De 1 a 11, 13 a 14, 89 a 90, 95 y 107",
  02.2 Acacias,"De 15 a 31, 85 a 88, 91 a 92, 94, 96 y 108 a 109",
  02.3 Chopera,De 32 a 47,
  02.4 Legazpi,"De 48 a 49, 93, 99 a 104, 110, 111 y 114",
  02.5 Delicias,"De 50 a 63, 97 a 98, 105 a 106 y 112 a 113",
  02.6 Palos de Moguer,De 64 a 75 y 77 a 82,
  02.7 Atocha,83 ,
,,
03. RETIRO,,95
  03.1 Pacífico,"De 1 a 23, 89 y 95 a 96",
  03.2 Adelfas,"De 24 a 30, 92 y 97 a 101",
  03.3 Estrella,"De 31 a 42, 44 a 47, 90 a 91 y 93 a 94",
  03.4 Ibiza,De 48 a 61 y 63 a 67,
  03.5 Los Jerónimos,"De 69 a 71, 73 a 74 y 76",
  03.6 Niño Jesús,De 77 a 82 y 84 a 88,
,,
04. SALAMANCA,,124
  04.1 Recoletos,De 1 a 14,
  04.2 Goya,"De 15 a 21, 23 a 42",
  04.3 Fuente del Berro,De 43 a 58 y 60,
  04.4 Guindalera,"De 61 a 65, 67 a 94 y 131",
  04.5 Lista,De 96 a 113,
  04.6 Castellana,"De 114 a 121, 123 a 124, 126 a 128 y 130",
,,
05. CHAMARTIN,,101
  05.1 El Viso,De 1 a 13,
  05.2 Prosperidad,"De 14 a 37, 95, 99 y 102",
  05.3 Ciudad Jardín,De 38 a 49 y 96,
  05.4 Hispanoamérica,De 51 a 69 y 97 a 98,
  05.5 Nueva España,"70, 72 a 84",
  05.6 Castilla,"De 85 a 92, 94, 100 a 101 y 103 a 104",
,,
06. TETUAN,,117
  06.1 Bellas Vistas,"De 1 a 19, 21, 23 y 125",
  06.2 Cuatro Caminos,"De 24 a 29, 31 a 46, 48 a 54",
  06.3 Castillejos,De 56 a 71,
  06.4 Almenara,"De 72 a 81, 84 a 85, 89 y 127 a 129",
  06.5 Valdeacederas,"De 90 a 97, 99, 101 a 107 y 126",
  06.6 Berruguete,De 108 a 124,
,,
07. CHAMBERI,,121
  07.1 Gaztambide,"De 1 a 4, 6 a 14, 16 a 19, 21 y 23",
