distrito,url,m2_medio,m2_estudio_q1hab
Centro,centro,5941,5802
Tetuán,tetuan,4443,4675
Barrio de Salamanca,barrio-de-salamanca,7157,7504
Carabanchel,carabanchel,2501,3100
Chamberí,chamberi,6228,6471
Chamartín,chamartin,5590,5671
Hortaleza,hortaleza,4233,4592
Latina,latina,2654,2927
Ciudad Lineal,ciudad-lineal,3456,4024
Arganzuela,arganzuela,4362,4601
Puente de Vallecas,puente-de-vallecas,2304,2821
Moncloa - Aravaca,moncloa-aravaca,4777,5697
Retiro,retiro,5297,6578
San Blas,san-blas,2964,3556
Villaverde,villaverde,1966,2563
Fuencarral - El Pardo,fuencarral-el-pardo,3986,4246
Usera,usera,2536,3154
Villa de Vallecas,villa-de-vallecas,2703,3271
Vicálvaro,vicalvaro,3596,4135
Barajas,barajas,3335,3599
