Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28001 Acebeda, La;;;Renta neta media por hogar;2020;27.408
28001 Acebeda, La;2800101 Acebeda, La distrito 01;;Renta neta media por hogar;2020;27.408
28001 Acebeda, La;2800101 Acebeda, La distrito 01;2800101001 Acebeda, La sección 01001;Renta neta media por hogar;2020;27.408
28002 Ajalvir;;;Renta neta media por hogar;2020;39.782
28002 Ajalvir;2800201 Ajalvir distrito 01;;Renta neta media por hogar;2020;39.782
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201001 Ajalvir sección 01001;Renta neta media por hogar;2020;42.289
28002 Ajalvir;2800201 Ajalvir distrito 01;2800201002 Ajalvir sección 01002;Renta neta media por hogar;2020;37.726
28003 Alameda del Valle;;;Renta neta media por hogar;2020;30.463
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;;Renta neta media por hogar;2020;30.463
28003 Alameda del Valle;2800301 Alameda del Valle distrito 01;2800301001 Alameda del Valle sección 01001;Renta neta media por hogar;2020;30.463
28004 Álamo, El;;;Renta neta media por hogar;2020;30.898
28004 Álamo, El;2800401 Álamo, El distrito 01;;Renta neta media por hogar;2020;30.898
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401001 Álamo, El sección 01001;Renta neta media por hogar;2020;29.013
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401002 Álamo, El sección 01002;Renta neta media por hogar;2020;31.251
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401003 Álamo, El sección 01003;Renta neta media por hogar;2020;29.830
28004 Álamo, El;2800401 Álamo, El distrito 01;2800401004 Álamo, El sección 01004;Renta neta media por hogar;2020;35.190
28005 Alcalá de Henares;;;Renta neta media por hogar;2020;36.247
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;;Renta neta media por hogar;2020;34.565
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501001 Alcalá de Henares sección 01001;Renta neta media por hogar;2020;36.081
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501002 Alcalá de Henares sección 01002;Renta neta media por hogar;2020;36.406
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501003 Alcalá de Henares sección 01003;Renta neta media por hogar;2020;35.049
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501004 Alcalá de Henares sección 01004;Renta neta media por hogar;2020;36.907
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501005 Alcalá de Henares sección 01005;Renta neta media por hogar;2020;43.053
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501006 Alcalá de Henares sección 01006;Renta neta media por hogar;2020;35.710
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501007 Alcalá de Henares sección 01007;Renta neta media por hogar;2020;28.676
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501008 Alcalá de Henares sección 01008;Renta neta media por hogar;2020;24.870
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501009 Alcalá de Henares sección 01009;Renta neta media por hogar;2020;29.304
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501010 Alcalá de Henares sección 01010;Renta neta media por hogar;2020;33.714
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501011 Alcalá de Henares sección 01011;Renta neta media por hogar;2020;30.235
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501012 Alcalá de Henares sección 01012;Renta neta media por hogar;2020;35.848
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501013 Alcalá de Henares sección 01013;Renta neta media por hogar;2020;41.304
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501014 Alcalá de Henares sección 01014;Renta neta media por hogar;2020;39.680
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501015 Alcalá de Henares sección 01015;Renta neta media por hogar;2020;32.362
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501016 Alcalá de Henares sección 01016;Renta neta media por hogar;2020;29.248
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501017 Alcalá de Henares sección 01017;Renta neta media por hogar;2020;28.631
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501018 Alcalá de Henares sección 01018;Renta neta media por hogar;2020;27.596
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501020 Alcalá de Henares sección 01020;Renta neta media por hogar;2020;27.684
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501021 Alcalá de Henares sección 01021;Renta neta media por hogar;2020;40.518
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501022 Alcalá de Henares sección 01022;Renta neta media por hogar;2020;33.786
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501023 Alcalá de Henares sección 01023;Renta neta media por hogar;2020;43.036
28005 Alcalá de Henares;2800501 Alcalá de Henares distrito 01;2800501024 Alcalá de Henares sección 01024;Renta neta media por hogar;2020;43.267
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;;Renta neta media por hogar;2020;30.547
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502001 Alcalá de Henares sección 02001;Renta neta media por hogar;2020;25.924
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502002 Alcalá de Henares sección 02002;Renta neta media por hogar;2020;28.937
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502003 Alcalá de Henares sección 02003;Renta neta media por hogar;2020;29.484
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502004 Alcalá de Henares sección 02004;Renta neta media por hogar;2020;24.664
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502005 Alcalá de Henares sección 02005;Renta neta media por hogar;2020;24.064
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502006 Alcalá de Henares sección 02006;Renta neta media por hogar;2020;26.416
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502007 Alcalá de Henares sección 02007;Renta neta media por hogar;2020;25.909
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502008 Alcalá de Henares sección 02008;Renta neta media por hogar;2020;38.276
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502009 Alcalá de Henares sección 02009;Renta neta media por hogar;2020;""
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502010 Alcalá de Henares sección 02010;Renta neta media por hogar;2020;25.189
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502011 Alcalá de Henares sección 02011;Renta neta media por hogar;2020;20.551
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502012 Alcalá de Henares sección 02012;Renta neta media por hogar;2020;22.880
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502013 Alcalá de Henares sección 02013;Renta neta media por hogar;2020;24.125
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502014 Alcalá de Henares sección 02014;Renta neta media por hogar;2020;29.117
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502015 Alcalá de Henares sección 02015;Renta neta media por hogar;2020;24.042
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502016 Alcalá de Henares sección 02016;Renta neta media por hogar;2020;30.523
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502017 Alcalá de Henares sección 02017;Renta neta media por hogar;2020;27.934
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502018 Alcalá de Henares sección 02018;Renta neta media por hogar;2020;31.460
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502019 Alcalá de Henares sección 02019;Renta neta media por hogar;2020;26.977
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502020 Alcalá de Henares sección 02020;Renta neta media por hogar;2020;29.602
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502021 Alcalá de Henares sección 02021;Renta neta media por hogar;2020;28.773
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502022 Alcalá de Henares sección 02022;Renta neta media por hogar;2020;27.394
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502023 Alcalá de Henares sección 02023;Renta neta media por hogar;2020;25.529
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502024 Alcalá de Henares sección 02024;Renta neta media por hogar;2020;26.435
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502025 Alcalá de Henares sección 02025;Renta neta media por hogar;2020;26.961
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502026 Alcalá de Henares sección 02026;Renta neta media por hogar;2020;30.443
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502027 Alcalá de Henares sección 02027;Renta neta media por hogar;2020;30.129
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502028 Alcalá de Henares sección 02028;Renta neta media por hogar;2020;40.940
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502029 Alcalá de Henares sección 02029;Renta neta media por hogar;2020;50.791
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502030 Alcalá de Henares sección 02030;Renta neta media por hogar;2020;30.376
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502031 Alcalá de Henares sección 02031;Renta neta media por hogar;2020;47.971
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502032 Alcalá de Henares sección 02032;Renta neta media por hogar;2020;31.909
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502033 Alcalá de Henares sección 02033;Renta neta media por hogar;2020;33.572
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502034 Alcalá de Henares sección 02034;Renta neta media por hogar;2020;33.369
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502035 Alcalá de Henares sección 02035;Renta neta media por hogar;2020;33.559
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502036 Alcalá de Henares sección 02036;Renta neta media por hogar;2020;33.297
28005 Alcalá de Henares;2800502 Alcalá de Henares distrito 02;2800502037 Alcalá de Henares sección 02037;Renta neta media por hogar;2020;32.634
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;;Renta neta media por hogar;2020;37.172
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503001 Alcalá de Henares sección 03001;Renta neta media por hogar;2020;29.842
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503002 Alcalá de Henares sección 03002;Renta neta media por hogar;2020;25.633
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503003 Alcalá de Henares sección 03003;Renta neta media por hogar;2020;25.556
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503004 Alcalá de Henares sección 03004;Renta neta media por hogar;2020;36.733
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503005 Alcalá de Henares sección 03005;Renta neta media por hogar;2020;25.903
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503006 Alcalá de Henares sección 03006;Renta neta media por hogar;2020;28.385
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503007 Alcalá de Henares sección 03007;Renta neta media por hogar;2020;33.753
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503008 Alcalá de Henares sección 03008;Renta neta media por hogar;2020;33.755
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503009 Alcalá de Henares sección 03009;Renta neta media por hogar;2020;25.147
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503011 Alcalá de Henares sección 03011;Renta neta media por hogar;2020;36.713
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503012 Alcalá de Henares sección 03012;Renta neta media por hogar;2020;29.788
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503013 Alcalá de Henares sección 03013;Renta neta media por hogar;2020;55.428
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503014 Alcalá de Henares sección 03014;Renta neta media por hogar;2020;37.245
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503015 Alcalá de Henares sección 03015;Renta neta media por hogar;2020;42.017
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503016 Alcalá de Henares sección 03016;Renta neta media por hogar;2020;59.385
28005 Alcalá de Henares;2800503 Alcalá de Henares distrito 03;2800503017 Alcalá de Henares sección 03017;Renta neta media por hogar;2020;52.448
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;;Renta neta media por hogar;2020;44.812
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504001 Alcalá de Henares sección 04001;Renta neta media por hogar;2020;55.014
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504002 Alcalá de Henares sección 04002;Renta neta media por hogar;2020;56.318
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504003 Alcalá de Henares sección 04003;Renta neta media por hogar;2020;49.121
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504004 Alcalá de Henares sección 04004;Renta neta media por hogar;2020;60.267
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504005 Alcalá de Henares sección 04005;Renta neta media por hogar;2020;35.719
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504006 Alcalá de Henares sección 04006;Renta neta media por hogar;2020;34.823
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504007 Alcalá de Henares sección 04007;Renta neta media por hogar;2020;51.205
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504008 Alcalá de Henares sección 04008;Renta neta media por hogar;2020;45.681
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504009 Alcalá de Henares sección 04009;Renta neta media por hogar;2020;37.105
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504010 Alcalá de Henares sección 04010;Renta neta media por hogar;2020;53.100
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504011 Alcalá de Henares sección 04011;Renta neta media por hogar;2020;47.966
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504012 Alcalá de Henares sección 04012;Renta neta media por hogar;2020;28.703
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504013 Alcalá de Henares sección 04013;Renta neta media por hogar;2020;47.915
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504014 Alcalá de Henares sección 04014;Renta neta media por hogar;2020;48.243
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504015 Alcalá de Henares sección 04015;Renta neta media por hogar;2020;28.359
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504016 Alcalá de Henares sección 04016;Renta neta media por hogar;2020;47.134
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504017 Alcalá de Henares sección 04017;Renta neta media por hogar;2020;40.352
28005 Alcalá de Henares;2800504 Alcalá de Henares distrito 04;2800504018 Alcalá de Henares sección 04018;Renta neta media por hogar;2020;37.631
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;;Renta neta media por hogar;2020;36.827
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505001 Alcalá de Henares sección 05001;Renta neta media por hogar;2020;28.701
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505002 Alcalá de Henares sección 05002;Renta neta media por hogar;2020;34.206
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505003 Alcalá de Henares sección 05003;Renta neta media por hogar;2020;29.869
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505004 Alcalá de Henares sección 05004;Renta neta media por hogar;2020;27.254
28005 Alcalá de Henares;2800505 Alcalá de Henares distrito 05;2800505005 Alcalá de Henares sección 05005;Renta neta media por hogar;2020;30.929
